Product_Name,Total_Rating,User,Time,Heading,Detail,Recommend,No_helpful_vote,Yes_helpful_vote
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Lil Devil,09-10-2022,Best buy ever,My dog loves this food it’s all he’ll eat right now,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,englishlady,09-10-2022,My dogs love it.,"The best dog food my pups have ever had.  They love it.  I love it because it is easy to give to them and healthy.  Only problem, it can be difficult to find.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Taddy,09-09-2022,Great product,Bought for my picky dog and he loves it. Glad that I found it.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,I max,09-09-2022,Max loved it!,"I bought this last week and he ate it everyday and loved it.
He never had stomach issues, so I consider it a winner.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,mm02830,09-08-2022,Well balanced diet for my dog,"I’m happy with this particular flavor of pet fresh as my dog is allergic to most of the others. The fact that this is Beef and Bison and no grains, no chicken, etc. I believe it’s the best fit for him.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Billyboo,09-07-2022,My dog loves it,"My dog is a picky eater, he doesn’t like kibbles. This is the only food he eats.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,LunasMom74,08-24-2022,Great ingredients,"I was trying to find a better food for my puppy. The first time I gave my little Shorkie this food, she flipped. She stands there and begs and wines while I prepare it. I can't get it out of the refrigerator quietly because she always hears it and comes running. To say she loves this is an understatement.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Lolo Bets,08-24-2022,Freshpet Foods,My dog loves the Beef and Bison Fresh pet food. He sometimes has trouble digesting chicken so this is a great alternative.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Stacmac,08-23-2022,Tinker loves it!,"My pup can get bored with food and stop eating. So far, she tears into this and is eating well.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,EAJackson,08-23-2022,Quality Product,"We have had our dogs on raw diet for a couple of years now and got tired of cutting up food all.the time.  Even though we would prefer to keep feeding raw, this is the next best thing for the price.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Great dog food,08-22-2022,My dogs love this product!,I wanted to add wet dog food without many fillers.  I tried a small package & my dogs loved it.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,ComeOnNow,08-21-2022,Texture!,"I’ve bought other Fresh Pet foods, but this one is almost like rubber. My dog seems to be okay with it, but she will eat almost anything. Very expensive for 5lb.",N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Mommy 123 t,08-19-2022,Great,My dog just loves it picks it out of his kibble first before he eats it kibble that is. Will definitely buy more,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Pstew22,08-17-2022,Good product,My teddybear is 2 yrs old and very picky eater enjoyed the food. His feces was was firm and not smelly. The suggested amount was perfect for his weight. Will definitely but again.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,PattyLash,08-16-2022,Easy serving sizes and super nutritious,Lucy wasn’t a fan of this flavor but she likes the other ones. FreshPet VITAL is so nutritious for her. It’s basically people food but specially designed for dogs! We had a hard time getting her to eat until we started mixing FreshPet VITAL into her kibble!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Mkinlaw47,08-07-2022,Great product,My dog loves the fresh food so I try to keep some on hand I use it as a appetizer on her prescription food,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Bean11112,08-04-2022,Topper,"We use this item as a topper , and our dog eats it up",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,GPix,07-14-2022,Great product,"My dog loves it 
Used for quite awhile
Wish it was sold more places",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Banditshuman,06-20-2022,Bandit Approved,"My two year old, Bandit, is allergic to chicken, and simply refuses to eat any dog food but FreshPet! He truly loves his food now. He will stand on his hind feet to look in his bowl before I put it down. 
I’m very pleased with the ingredients. I know he’s eating healthy. 
It is a little on the pricey side, but to me he’s worth it. He’s a part of the family. 
Thank you at FreshPet for giving me peace of mind, knowing my dog is eating healthy!

C McMillan & Bandit",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Jeanspupy,06-17-2022,Great features!,I have been having trouble finding Fresh Pet dog food.  It's hard to find.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Allie19,06-16-2022,real meat,"I find this a healthy choice  for my aging dog, seems to really like it too",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,mereyn,06-15-2022,Freshpet® Vital™Grain Free Beef & Bison Adult Dog,I have been feeding this to my dog for several months and have noticed he seems more fit and his coat is shinier.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Sunshine II,06-14-2022,Convenient,"Bought this product for a very picky eater.  Surprise Surprise, he has been eating it",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Lloyd 73,06-12-2022,,I highly recommend this product I buy a big tube once a week . Quality is good and always fresh,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,KAIDS,06-01-2022,Dog Loves This Food,"Great ingredients, a bit pricy but my dog loves this food. Smells a whole lot better than the canned dog food.  Also cuts down the begging cause he thinks it's people food.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Lil Papa,05-30-2022,Meat Eater,My picky eater loves it! He's 3 years old and since he is a puppy he eats the bison flavor. He doesn't like the other flavors it comes in. Eating the same thing does get boring. He enjoys kibbles too. I try to serve the meat first and then the kibbles second. Half portion meat and second serving half kibbles.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,49jerry,05-28-2022,Puppy loves it,"My puppy loves the fresh food. It comes in a tube, easy to slice off portions and keeps well in the refrigerator.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Patty Lu,05-26-2022,Great for picky eaters!,My GSD loves this! She has digestive issues and finding a product she can easily digest and enjoys eating has been a full year of trial and error. This is the first product I don’t have to throw away because she refuses to eat.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,DoggieMom67,05-24-2022,"My dog, Cooper loves his new food!",My picky dog will only eat his kibble if I add something enticing on top. He loves to eat now and will come tell me that it’s time to eat. I like it because it’s easy to slice on a small portion and crumble on top of his dry dog food. Has a firm texture with cranberries and other goodies mixed into the firm pate. Also bonus doesn’t smell bad!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Mason608,05-23-2022,Good nutrition,My dog is very picky. He eats this log about once a month. I have a very hard time feeding Mason. Mostly cooked meals. But I get tired and this is my go to,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Rancher656,05-20-2022,Great for older dog,My almost 13 year old American bulldog perked up considerably and is super happy each time I go to refrigerator and pull it out.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Stephxx,05-19-2022,My dog loves it,I mix this with my dogs kibble everyday He loves it and will eat all of his food,N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Theath76,05-10-2022,Chihuahuas love it,"I have had my dogs on this for about three months, they love it. But I think it has an alarm clock in it! Now they have to eat at 7:30 AM and 5 PM. I can set my watch by the food.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Mama Richmond,05-09-2022,Our dog loves this as a topper for his dry food!,"I like this product because it does NOT have chicken which my dog is allergic to and it has healthy ingredients. It is was to slice and crumble to put on top of his dry food. Our dog, Cooper LOVES it and he is picky. Highly recommend. Also on a side note it doesn't smell bad like some dog foods do.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,GrandmaPat,05-08-2022,Dogs love it!!,Never have to worry about the dogs finishing this food. They love it!!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Bruce52,05-06-2022,My dogs love it!,My dogs really like this fresh food. Easy to slice up for them and they love the taste,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Vmsn,05-06-2022,My pet actually will eat this and she is picky,I have used this for several years now! Only problem is stores have issues having the 1 lb in stock when I need it! Now I buy in advance so I hopefully never run out,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Cindy 61,05-06-2022,Great ingredients and good for my dog,I bought this a week ago for my dog because he is such a fussy eater.  He loves it & gobbles it down.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Plankton,05-05-2022,good food,Good food. My dog loves it. Problem is  it is OUT of stock more then in stock.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,,04-29-2022,,My dogs love fresh pet and love this flavor. They are very picky eaters too.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,What 1,04-28-2022,Fresh Pet Vital,"I buy this often. My dog loves it. However, it’s expensive.",N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Evelyn69,04-27-2022,Great Food for My Dog,"This product is a great choice for my dog, Jethro. He has an easy time eating the food and he enjoys it. Look forward to purchasing more in the future.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Wilee,04-26-2022,Dogs Love it !,My two dogs love this food and for that matter so does our vet .,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Jennypenny,04-21-2022,Puppy Loves This!!,I switched from kibble which my puppy didn’t show any interest in. Now she can’t wait for mealtime! I still mix with a little kibble to keep the cost down. But a great investment as Fresh Pet is a really healthy choice.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,HoundLoves,04-19-2022,Coat shines same day!!!,"Beef and bison is only formula that does this. Its amazing! I also feed regular food for grains. My aged hound-mix is underweight and still active, likes to run.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Wanda 66,04-12-2022,I really like this food my little dog loves it,I really like this food my little dog loves it He’s been on it now for about two months,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,PomMom1966,04-11-2022,Picky eater wants more and more,If my Pomeranian had things his way he would eat this food until he exploded.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Pepper,04-07-2022,Perfect Canine Food,This food has regenerated my Norfolk terrier that was suffering from colitis.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,SchmidtyNYC,04-06-2022,My dog likes it!,"Finally food my dog will eat, and not get sick of. He actually will eat this every time, whereas everything else he eventually stops eating. Like that it is fresh and no grain!",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Kellybrew,04-01-2022,My dog loves this,My dog is a picky eater. I take some of this an put it on his dry kibble and he eats it all up.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,JANICEJ,03-31-2022,Vet Choice,"My vet recommended this food for my older dog who's less active so she could lose weight.  She loves it and is losing weight fast on this food.  Pure, no fillers or hidden sugar...",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Estepgigi,03-28-2022,Chows it down,My picky guy absolutely loves this stuff. He had gotten to where he would eat anything but treats and would starve himself. However we tried this and he loves it. He will sit at my feet while I cut it up and we have to watch him when fridge is open as he did try to pull the plastic bag we had this in out.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,ann62,03-27-2022,beef and bison,My furbuddy loves this would hlighly recommend this,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Bonniesmom52,03-21-2022,My dog loves it,The food is difficult to get so you really have to keep an eye out before you run low but it's worth it,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Vmsn,03-18-2022,My picky dog loves it,"I have a very picky eater, but my Penny has been eating this every other day for several years. Just hard to get way too often!",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Spence22,03-17-2022,,"Love this food for my doggies because I believe the in the quality of the food. This is a healthier option compared to hard dog food. Also, one of my dogs cannot have poultry and the beef and bison doesnt. Lastly, my dogs love the food. 
Unfortunately, it can be hard to find in the stores and Chewy doesnt ship this type food to my area.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Giulio,03-17-2022,Not for Cocker Spaniel,This Product gave really bad diarrhea/Vomit to my English Cocker Spaniel.,N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,nununna,03-10-2022,Life saver,I have a 14 year old puppy and he couldn't hold any food down and he was bleeding from his behind and his eyes were full of mucus. After feeding him this dog food he is acting like a young puppy again.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Daggi,03-09-2022,Best Pet food,My Dog eats this Bison Roll and other Freshpet products since years. She's 9 years old and super healthy.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,,03-06-2022,Great produce... but You're Always Out,I love this product. It is the ONLY food my allergy ridden dog can eat and stay healthy. But it is ALWAYS OUT!!! I had my hopes up on my last order because your web page said some was left in store. So I bought it. Only to have my order canceled because it LIED!!,N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Cheganda,03-04-2022,,My dog loves this i keep buying it for him.  But the thing is i seldom see a big size and not too many stocks.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Miley and Riley,03-02-2022,,Both my dogs love it.  I mix it with the dogs dry food and they eat it all up.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Coco1224,03-01-2022,Fussy Dogs Love This Product,My ShihTzu is the worst eater. He doesn’t even eat most snacks. He does like Fresh Pet in moderation which is a miracle. I hate feeding him food that is poor quality but he seems to prefer things I really don’t like to buy. My dog will go 3-4 days without eating if it is not what he likes. He does like Fresh Pet products but only the smaller rolls because he won’t eat the same items 3 days in a row. I feel like he is getting healthy food when he eats Fresh Pet.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,13Michele,02-26-2022,Tasty additive,Dogs really enjoy the taste of the beef and salmon roll. No chicken in these!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,JR Hammer,02-25-2022,Great treat,I usually get the chicken but my dogs love it when I mix in the bison every couple of months,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,hennypenny427,02-25-2022,"My ""picky eater"" dog really enjoys this food.",I rescued a little dog and I think she was only fed table food before coming to live with me. I spent most of the first year trying to find a dog food that she would eat. She enjoys this and I don't have to worry about trying to find something she will eat.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Idk man,02-22-2022,Idk,I bought this a few days ago. I have a Frenchie he’s not so much of a picky eater but I think with this food he is? I guess if it I just made him some rn and he’s just stared at it i tryed giving him his kibble he doesn’t want that either. I don’t know if he’s hungry or no. He did the same yesterday. But he did ate the kibble. Lol,N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Daliairis,02-20-2022,Great fresh dog food!,We started buying this after our dog started having gastrointestinal issues including nausea and diarrhea. He loves it more than other wet foods we have tried and his symptoms mostly disappeared.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Roxyjane,02-19-2022,good product,Prince loves this food. I've been buying this for quite a while.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Lou060,02-16-2022,Great food,"Hi, we been feeding are four dogs the bison and beef for the last few weeks and they love it. This is the first food that they all like no nosse up ,all start dancing and talking till I give it to them. Like I said they all like it and that's hard because usually one won't care for something. My pups range from 13 to 2 one husky, lab,pomsky and a mutt. Great food keep it up. Thanks",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,plr852,02-11-2022,Great taste!,I bought this food for my 2 Chihuahuas who appear to love it as they are thinking they need to be fed earlier & earlier each day (morning & evening)!  I’m happy with the food as well.  It’s grain free.  It does need to be refrigerated. I would recommend,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,My boi,02-11-2022,"Finally, something without chicken!",So glad I can easily find this at PetSmart. My boy is allergic to chicken and this is the only place I can find this package.,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Lizzah,02-11-2022,Dogs love this !,So happy with this dog food ! Dogs love it so much!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Onyxluv,02-05-2022,Concerned,Made my dog sick. Another Freshpet product Chicken and Turkey were and are great.,N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Molly Co,02-03-2022,Look good,"I've been trying to get my dog on this for several months now...being allergic to chicken, beef or turkey is hard to find. 
Sometimes she eats it sometimes not. I keep it and serve it daily with hope
Stock more turkey and less chicken.",N,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Leo The Aussie Pup,01-28-2022,My pup goes crazy for this,"I purchased this so that I could sneak his medication in it since he doesn’t like taking pills. Well, as soon as he hears me cutting a slice he goes crazy and tries to jump on the counter for a bite. Now that he’s done with the medication I just cut a slice or two and mix with his dry food and he loves it. Finishes his food immediately. And I love that it’s healthy for him and doesn’t contain chicken which he’s allergic to.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Brandilla,01-27-2022,My pup loves it!,I buy this food for my pup that is very finicky. He loves it!,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Luna Maya,01-24-2022,Our Huskies love it,Once we started adding fresh pet to our doggies diet … there digestive system appears better,Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Cris9994,01-19-2022,Soft dog food,"My teacup chihuahua who has dental issues loves this soft food. Easy on his gums, and mushy enough to swallow. This food helps keeps his weight consistent,  which is excellent for him. There are several flavors to choose from.",Y,17,263
Freshpet® Vital™Grain Free Beef & Bison Adult Dog Food,4.82262996941896,Punkin pie,01-18-2022,Good title,"It's one of the only pet foods she will eat, and not stop eating after a couple days.",Y,17,263
