Product,Flavor,13.6 Oz,13.6 Oz_offer_price,13.6 Oz_recommended_price,Grain_Free,Ingredients,URL,Rating,Reviews,2.5 Lb,2.5 Lb_offer_price,2.5 Lb_recommended_price,Life_Stage,30 Lb,30 Lb_offer_price,30 Lb_recommended_price,22 Lb,22 Lb_offer_price,22 Lb_recommended_price,13.4 Oz,13.4 Oz_offer_price,13.4 Oz_recommended_price,26.4 Lb,26.4 Lb_offer_price,26.4 Lb_recommended_price,3 Oz,3 Oz_offer_price,3 Oz_recommended_price,7.7 Lb,7.7 Lb_offer_price,7.7 Lb_recommended_price,3 Lb,3 Lb_offer_price,3 Lb_recommended_price,17.6 Lb,17.6 Lb_offer_price,17.6 Lb_recommended_price,25.3 Lb,25.3 Lb_offer_price,25.3 Lb_recommended_price,6.6 Lb,6.6 Lb_offer_price,6.6 Lb_recommended_price,8.8 Lb,8.8 Lb_offer_price,8.8 Lb_recommended_price,13.5 Oz,13.5 Oz_offer_price,13.5 Oz_recommended_price,35 Lb,35 Lb_offer_price,35 Lb_recommended_price,18 Lb,18 Lb_offer_price,18 Lb_recommended_price,28.6 Lb,28.6 Lb_offer_price,28.6 Lb_recommended_price,14 Oz,14 Oz_offer_price,14 Oz_recommended_price,10 Lb,10 Lb_offer_price,10 Lb_recommended_price,17 Lb,17 Lb_offer_price,17 Lb_recommended_price,5.1 Oz,5.1 Oz_offer_price,5.1 Oz_recommended_price,6 Lb,6 Lb_offer_price,6 Lb_recommended_price,2 Lb,2 Lb_offer_price,2 Lb_recommended_price,3.5 Lb,3.5 Lb_offer_price,3.5 Lb_recommended_price,16.5 Lb,16.5 Lb_offer_price,16.5 Lb_recommended_price
Royal Canin Shih Tzu Puppy Breed Specific Dry Dog Food,Chicken,,,,No,Crude Protein (min.) 26% Crude Fat (min.) 16% Crude Fiber (max.) 3.6% Moisture (max.) 10% Vitamin E (min.) 500 IU/kg Vitamin A (min.) 13000 IU/kg Eicosapentaenoic Acid (EPA)* (min.) 0.18% Docosahexaenoic Acid (DHA)* (min.) 0.07% Taurine* (min. 0.2% Ascorbic Acid* (min.) 200 mg/kg Lutein* (min.) 5 mg/kg *Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.,"https://www.petsmart.com/dw/shop/v18_8/products/5184507?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8305,118,24.99,24.99,25.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Hepatic Dry Dog Food,Other,,,,N/A,Crude Protein (min.) 14.0%  Crude Fat (min.) 14.0%  Crude Fiber (max.) 3.9%  Moisture (max.) 10.0%  Eicosapentaenoic + Docosahexaenoic acid (EPA + DHA) (min.) 0.12%  Copper (max.) 6 mg/kg  Vitamin E (min.) 350 IU/kg  Ascorbic acid* (min.) 230 mg/kg *Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.,"https://www.petsmart.com/dw/shop/v18_8/products/5179969?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7308,130,,,,Adult,,,,,,,,,,,,,,,,49.99,49.99,49.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin X-Small Puppy Dry Dog Food,Chicken & Rice,,,,No,"Brewers Rice, Chicken By-Product Meal, Chicken Fat, Wheat Gluten, Corn Gluten Meal, Corn, Dried Plain Beet Pulp, Natural Flavors, Fish Oil, Vegetable Oil, Sodium Silico Aluminate, Monocalcium Phosphate, Potassium Chloride, Fructooligosaccharides, Sodium Tripolyphosphate, Hydrolyzed Yeast (Source Of Betaglucans), Calcium Carbonate, Salt, Yucca Schidigera Extract, DL-Methionine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Pyridoxine Hydrochloride (Vitamin B6), Niacin Supplement, Folic Acid,Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement], L-Lysine, Choline Chloride, Taurine, Trace Minerals [Zinc Proteinate, Manganese Proteinate, Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), L-Carnitine, Carotene, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5173175?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8741,143,,,,Puppy,,,,,,,,,,,,,,,,,,,19.99,19.99,19.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Yorkshire Terrier Puppy Breed Specific Dry Dog Food,Other,,,,No,Crude Protein (min.) 27% Crude Fat (min.) 18% Crude Fiber (max.) 3.5% Moisture (max.) 10% Vitamin E (min.) 500 IU/kg Omega 6 Fatty Acids* (min.) 3.6% Omega 3 Fatty Acids* (min.) 0.6% Eicosapentaenoic Acid (EPA)* (min.) 0.18% Docosahexaenoic Acid (DHA)* (min.) 0.08% Taurine* (min. 0.18% Ascorbic Acid* (min.) 200 mg/kg Biotin* (min.) 1.5 mg/kg Lutein* (min.) 5 mg/kg *Not recognized as an essential nutrient by the AAFCO Dog Food Nutrient Profiles.,"https://www.petsmart.com/dw/shop/v18_8/products/5150144?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8344,163,24.99,24.99,25.99,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Canin Veterinary Diet Adult Glycobalance Loaf in Sauce Canned Dog Food, 13.4 oz",N/A,,,,N/A,"Water Sufficient For Processing, Pork By-Products, Chicken, Pork Liver, Chicken By-Products, Powdered Cellulose, Corn Meal, Wheat Gluten, Carrageenan, Pork Plasma, Carob Bean Gum, Guar Gum, Dried Plain Beet Pulp, Fish Oil, Calcium Carbonate, Taurine, Vitamins [L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Potassium Chloride, Citric Acid, L-Carnitine, Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.)","https://www.petsmart.com/dw/shop/v18_8/products/5192733?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7282,103,,,,Adult,,,,,,,4.39,4.39,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Canin Yorkshire Terrier Adult Breed Specific Wet Dog Food, 3 oz. can",N/A,,,,No,"958 kcal/kg ME, 81 kcal/can ME","https://www.petsmart.com/dw/shop/v18_8/products/5246952?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.767,103,,,,Adult,,,,,,,,,,,,,10.99,10.99,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Urinary SO Dry Dog Food,Other,,,,N/A,"Brewers Rice, Corn, Chicken Fat, Chicken By-Product Meal, Brewers Rice Flour, Corn Gluten Meal, Natural Flavors, Salt, Powdered Cellulose, Potassium Chloride, Vegetable Oil, Calcium Sulfate, Fish Oil, Monocalcium Phosphate, DL-Methionine, Fructooligosaccharides, L-Lysine, Choline Chloride, Taurine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Trace Minerals [Zinc Proteinate, Zinc Oxide, Ferrous Sulfate, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Marigold Extract (Tagetes Erecta L.), L-Tryptophan, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5169127?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7403,1032,,,,,,,,,,,,,,,,,,,,,,,,,,86.99,86.99,86.99,102.99,86.99,86.99,38.99,86.99,86.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Urinary SO Small Breed Dry Dog Food,N/A,,,,N/A,"Brewers Rice, Corn, Chicken Fat, Chicken By-Product Meal, Corn Gluten Meal, Natural Flavors, Salt, Wheat Gluten, Powdered Cellulose, Potassium Chloride, Vegetable Oil, Calcium Sulfate, Monocalcium Phosphate, Fish Oil, DL-Methionine, Fructooligosaccharides, Sodium Tripolyphosphate, L-Lysine, Choline Chloride, Taurine, Trace Minerals [Zinc Proteinate, Manganese Proteinate, Ferrous Sulfate, Zinc Oxide, Manganous Oxide, Copper Sulfate, Calcium Iodate, Sodium Selenite, Copper Proteinate], Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Biotin, D-Calcium Pantothenate, Vitamin A Acetate, Niacin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Thiamine Mononitrate (Vitamin B1), Vitamin B12 Supplement, Riboflavin Supplement, Vitamin D3 Supplement, Folic Acid], Marigold Extract (Tagetes Erecta L.), Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5169132?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8168,273,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.99,54.99,54.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Canin Veterinary Diet Renal Support E Adult Wet Dog Food - Loaf, 13.5-oz",N/A,,,,N/A,"Water Sufficient For Processing, Brewers Rice, Pork By-Products, Chicken By-Products, Chicken Liver, Corn Flour, Vegetable Oil, Natural Flavors, Powdered Cellulose, Fish Oil, Potassium Citrate, Carob Bean Gum, Calcium Carbonate, Guar Gum, Taurine, Carrageenan, Dried Plain Beet Pulp, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), Thiamine Mononitrate (Vitamin B1), Biotin, Niacin Supplement, D-Calcium Pantothenate, Riboflavin Supplement, Pyridoxine Hydrochloride (Vitamin B6), Vitamin B12 Supplement, Folic Acid, Vitamin D3 Supplement], Choline Chloride, Sodium Tripolyphosphate, Salt, Fructooligosaccharides, Magnesium Oxide, Sodium Silico Aluminate, Trace Minerals [Zinc Oxide, Ferrous Sulfate, Zinc Proteinate, Copper Sulfate, Manganous Oxide, Sodium Selenite, Calcium Iodate], Marigold Extract (Tagetes Erecta L.), Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5258067?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.4118,68,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.39,4.39,4.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Canin Veterinary Diet Adult Hydrolyzed Protein Small Breed Dry Dog Food,Other,,,,N/A,"Brewers Rice, Hydrolyzed Soy Protein, Chicken Fat, Natural Flavors, Vegetable Oil, Dried Plain Beet Pulp, Sodium Silico Aluminate, Calcium Sulfate, Salt, Fish Oil, Monocalcium Phosphate, Fructooligosaccharides, Potassium Chloride, Calcium Carbonate, Sodium Tripolyphosphate, DL-Methionine, Taurine, Vitamins [DL-Alpha Tocopherol Acetate (Source Of Vitamin E), Niacin Supplement, L-Ascorbyl-2-Polyphosphate (Source Of Vitamin C), D-Calcium Pantothenate, Biotin, Pyridoxine Hydrochloride (Vitamin B6), Riboflavin Supplement, Thiamine Mononitrate (Vitamin B1), Vitamin A Acetate, Vitamin B12 Supplement, Folic Acid], Choline Chloride, Trace Minerals [Zinc Proteinate, Zinc Oxide, Manganese Proteinate, Manganous Oxide, Copper Sulfate, Ferrous Sulfate, Sodium Selenite, Copper Proteinate, Calcium Iodate], GLA Safflower Oil, Marigold Extract (Tagetes Erecta L.), Magnesium Oxide, Rosemary Extract, Preserved With Mixed Tocopherols And Citric Acid","https://www.petsmart.com/dw/shop/v18_8/products/5162835?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.8146,178,,,,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.99,58.99,58.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Royal Canin Chihuahua Adult Breed Specific Wet Dog Food, 3 oz. can",N/A,,,,No,"914 kcal/kg ME, 78 kcal/can ME","https://www.petsmart.com/dw/shop/v18_8/products/5246951?client_id=11d422c1-e017-4692-8ade-c0d36191da29&expand=prices,variations,availability,promotions,options",4.7207,111,,,,Adult,,,,,,,,,,,,,10.99,10.99,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
