product_id,product_sku,product_name,regular_price,member_price,save_amount,product_size,Product Category,Treat Type,Food Type,Advice Care,Brand,Flavour,Ingredients,Nutrition Grade,Breed,Life Stage,Health Benefits,Australia Made,Health Condition Dietary
63474,29371,Royal Canin Medium Adult Dog Food 15kg,184.99,131.25,53.74,15kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,Chicken,"dehydrated poultry protein, maize flour, maize, wheat flour, animal fats, dehydrated pork protein, wheat, hydrolysed animal proteins, beet pulp, fish oil, soya oil, yeasts, minerals, hydrolysed yeast (source of manno-oligo-saccharides). ADDITIVES (per kg): Nutritional additives: Vitamin A: 12000 IU, Vitamin D3: 800 IU, E1 (Iron): 46 mg, E2 (Iodine): 4.6 mg, E4 (Copper): 9 mg, E5 (Manganese): 60 mg, E6 (Zinc): 181 mg, E8 (Selenium): 0.12 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 25% - Fat content: 14% - Crude ash: 5.9% - Crude fibres: 1.2% - Per kg: Manno-oligo-saccharides: 0.5 g - Omega 3 fatty acids: 6 g including EPA/DHA: 3.1 g.",Superior,Medium,Adult,,No,Complete feed for adult medium breed dogs (from 11 to 25 kg) over 12 months.
63435,29358,Royal Canin Medium Adult Dog Food 4kg,68.99,54.2,14.79,4kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,Chicken,"dehydrated poultry protein, maize flour, maize, wheat flour, animal fats, dehydrated pork protein, wheat, hydrolysed animal proteins, beet pulp, fish oil, soya oil, yeasts, minerals, hydrolysed yeast (source of manno-oligo-saccharides). ADDITIVES (per kg): Nutritional additives: Vitamin A: 12000 IU, Vitamin D3: 800 IU, E1 (Iron): 46 mg, E2 (Iodine): 4.6 mg, E4 (Copper): 9 mg, E5 (Manganese): 60 mg, E6 (Zinc): 181 mg, E8 (Selenium): 0.12 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 25% - Fat content: 14% - Crude ash: 5.9% - Crude fibres: 1.2% - Per kg: Manno-oligo-saccharides: 0.5 g - Omega 3 fatty acids: 6 g including EPA/DHA: 3.1 g.",Superior,Medium,Adult,,No,Complete feed for adult medium breed dogs (from 11 to 25 kg) over 12 months.
116484,98510,Advance Chicken Large Breed Adult Dog Food - 15kg,161.99,114.99,47,15kg,Dry Food,,,Store in a Cool Dry Place Away from Sunlight,Advance,Chicken,"Chicken Meal, Rice; Sorghum; Rice Flour; Chicken Fat; Dried Beet Pulp; Natural Flavour (Chicken); Sunflower Oil; Turkey Meal; Vitamins and Minerals; Amino Acids (Incl. Arginine, Taurine and Methionine); Salt; Inulin; Antioxidants; Green Lipped Mussel Powder.",Superior,Large,Adult,,No,Suitable for all large breed dogs with an adult weight 25kg or more
82167,136880,Hills Prescription Diet Meta Plus Mobility Adult Dog Food 10.8kg,221.99,171.99,50,10.8kg,Dry Food,,,,Hill's Prescription Diet,,"Chicken Meal, Brewers Rice, Pea Fiber, Whole Grain Corn, Corn Gluten Meal, Flaxseed, Soybean Mill Run, Dried Tomato Pomace, Powdered Cellulose, Wheat Gluten, Dried Beet Pulp, Chicken Liver Flavor, Fish Oil, Coconut Oil, L-Lysine, Lactic Acid, Pork Liver Flavor, Potassium Chloride, DL-Methionine, Iodized Salt, Carrots, Dicalcium Phosphate,  vitamins (Vitamin E Supplement, L-Ascorbyl-2-Polyphosphate (source of Vitamin C), Niacin Supplement, Thiamine Mononitrate, Calcium Pantothenate, Pyridoxine Hydrochloride, Vitamin A Supplement, Biotin, Vitamin B12 Supplement, Riboflavin Supplement, Folic Acid, Vitamin D3 Supplement), Lipoic Acid, Choline Chloride, Calcium Carbonate, minerals (Manganese Sulfate, Ferrous Sulfate, Zinc Oxide, Copper Sulfate, Calcium  Iodate, Sodium Selenite), Taurine, Glucosamine Hydrochloride, L-Carnitine, Mixed Tocopherols for freshness, Natural Flavors, Chondroitin Sulfate, Beta-Carotene",,,Adult,Mobility,No,
109581,127958,Black Hawk Chicken And Rice Adult Dog Food - 20kg,171.99,129.99,42,20kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Chicken,"Chicken Meal, Ground Brown Rice, Ground Oats, Chicken Fat (preserved with mixed Tocopherols, source of Vitamin E, Citric Acid, Rosemary Extract), Rye, Flaxseed Meal, Fish Meal, Emu Oil, Dried Carrots, Dried Kelp, Natural Chicken Flavour, Choline Chloride, Chicory, Calcium Ascorbate (source of Vitamin C), Zinc Amino Acid Chelate, Yucca Schidigera Extract, Dried Blueberries, Dandelion, Peppermint, Rosemary, Tomato Meal, Vitamin E Supplement, Glucosamine, Chondroitin Sulphate, Iron Amino Acid Chelate, Manganese Amino Acid Chelate, Cobalt Amino Acid Chelate, Biotin, Vitamin A-Acetate, L-Carnitine, Calcium Pantothenate Niacin, Pyridoxine Hydrochloride (B6), Thiamine Monoitrate (B1), Vitamin B12 Supplement, Vitamin D3 Supplement, Riboflavin Supplement, DL Methionine, Folic Acid, Copper Amino Acid Chelate, Sodium Selenite, Calcium Iodate.",Premium,,Adult,,Yes,
109575,127954,Black Hawk Chicken And Rice Adult Dog Food - 3kg,50.99,36.99,14,3kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Chicken,"Chicken Meal, Ground Brown Rice, Ground Oats, Chicken Fat (preserved with mixed Tocopherols, source of Vitamin E, Citric Acid, Rosemary Extract), Rye, Flaxseed Meal, Fish Meal, Emu Oil, Dried Carrots, Dried Kelp, Natural Chicken Flavour, Choline Chloride, Chicory, Calcium Ascorbate (source of Vitamin C), Zinc Amino Acid Chelate, Yucca Schidigera Extract, Dried Blueberries, Dandelion, Peppermint, Rosemary, Tomato Meal, Vitamin E Supplement, Glucosamine, Chondroitin Sulphate, Iron Amino Acid Chelate, Manganese Amino Acid Chelate, Cobalt Amino Acid Chelate, Biotin, Vitamin A-Acetate, L-Carnitine, Calcium Pantothenate Niacin, Pyridoxine Hydrochloride (B6), Thiamine Monoitrate (B1), Vitamin B12 Supplement, Vitamin D3 Supplement, Riboflavin Supplement, DL Methionine, Folic Acid, Copper Amino Acid Chelate, Sodium Selenite, Calcium Iodate.",Premium,,Adult,,Yes,
109572,501599,Black Hawk Chicken And Rice Adult Dog Food 10kg,121.99,102.99,19,10kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Chicken,"Chicken Meal, Ground Brown Rice, Ground Oats, Chicken Fat (preserved with mixed Tocopherols, source of Vitamin E, Citric Acid, Rosemary Extract), Rye, Flaxseed Meal, Fish Meal, Emu Oil, Dried Carrots, Dried Kelp, Natural Chicken Flavour, Choline Chloride, Chicory, Calcium Ascorbate (source of Vitamin C), Zinc Amino Acid Chelate, Yucca Schidigera Extract, Dried Blueberries, Dandelion, Peppermint, Rosemary, Tomato Meal, Vitamin E Supplement, Glucosamine, Chondroitin Sulphate, Iron Amino Acid Chelate, Manganese Amino Acid Chelate, Cobalt Amino Acid Chelate, Biotin, Vitamin A-Acetate, L-Carnitine, Calcium Pantothenate Niacin, Pyridoxine Hydrochloride (B6), Thiamine Monoitrate (B1), Vitamin B12 Supplement, Vitamin D3 Supplement, Riboflavin Supplement, DL Methionine, Folic Acid, Copper Amino Acid Chelate, Sodium Selenite, Calcium Iodate.",Premium,,Adult,,Yes,
88272,136934,Royal Canin Veterinary Anallergenic Adult Dog Food 8Kg,200.99,145.99,55,8kg,Dry Food,,,"For dogs with Adverse Food Reactions (AFR), food allergy, food intolerance, with dermatological and/or gastro-intestinal signs, food elimiation trial, Inflammatory Bowel Disease (IBD).",Royal Canin Veterinary Diet,,"COMPOSITION: maize starch, feather hydrolysate with low molecular weight (source of L amino acids and oligopeptides), copra oil, soya oil, minerals, vegetable fibres, chicory pulp, fructo-oligo-saccharides, fish oil, mono- and diglycerides of fatty acids esterified with citric acid, animal fat, marigold extract (source of lutein. ADDITIVES (per kg): Nutritional additives: Vitamin A: 30600 IU, Vitamin D3: 800 IU, E1 (Iron): 42 mg, E2 (Iodine): 3.7 mg, E4 (Copper): 13 mg, E5 (Manganese): 55 mg, E6 (Zinc): 198 mg, E8 (Selenium): 0.1 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 18% - Fat content: 16.5% - Crude ash: 8.8% - Crude fibres: 2.2% - Essential fatty acids: 41.8 g/kg.Product ingredients",,,Adult,,No,Anallergenic is formulated to assist in the management of severe adverse food reactions in dogs. The complete diet includes hydrolised protein sources and carefully selected carbohydrates to reduce skin and digestive reactions.
63624,30318,Royal Canin Maxi Puppy Dog Food 15kg,190.99,133.13,57.86,15kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,Chicken,"rice, dehydrated poultry protein, dehydrated pork protein*, maize flour, animal fats, hydrolysed animal proteins, maize gluten, maize, minerals, beet pulp, vegetable fibres, vegetable protein isolate*, soya oil, fish oil, psyllium husks and seeds, fructo-oligo-saccharides, hydrolysed yeast (source of manno-oligo-saccharides), hydrolysed crustaceans (source of glucosamine), marigold extract (source of lutein), hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 11600 IU, Vitamin D3: 1000 IU, E1 (Iron): 48 mg, E2 (Iodine): 3.7 mg, E4 (Copper): 8 mg, E5 (Manganese): 63 mg, E6 (Zinc): 206 mg, E8 (Selenium): 0.08 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS:Protein: 30% - Fat content: 16% - Crude ash: 8.5% - Crude fibres: 2.7% - Per kg: Fructo-oligo-saccharides: 3.4 g - Manno-oligo-saccharides: 0.5 g - Calcium: 12 g - Phosphorus: 9 g. *L.I.P.: protein selected for its very high assimilation.",Superior,,Puppy,Growth Support,No,Complete dog feed for large breed puppies (adult weight from 26 to 44 kg) up to 15 months old.
63111,29321,Royal Canin Maxi Puppy Dog Food 4kg,70.99,59.8,11.19,4kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,Chicken,"rice, dehydrated poultry protein, dehydrated pork protein*, maize flour, animal fats, hydrolysed animal proteins, maize gluten, maize, minerals, beet pulp, vegetable fibres, vegetable protein isolate*, soya oil, fish oil, psyllium husks and seeds, fructo-oligo-saccharides, hydrolysed yeast (source of manno-oligo-saccharides), hydrolysed crustaceans (source of glucosamine), marigold extract (source of lutein), hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 11600 IU, Vitamin D3: 1000 IU, E1 (Iron): 48 mg, E2 (Iodine): 3.7 mg, E4 (Copper): 8 mg, E5 (Manganese): 63 mg, E6 (Zinc): 206 mg, E8 (Selenium): 0.08 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS:Protein: 30% - Fat content: 16% - Crude ash: 8.5% - Crude fibres: 2.7% - Per kg: Fructo-oligo-saccharides: 3.4 g - Manno-oligo-saccharides: 0.5 g - Calcium: 12 g - Phosphorus: 9 g. *L.I.P.: protein selected for its very high assimilation.",Superior,,Puppy,Growth Support,No,Complete dog feed for large breed puppies (adult weight from 26 to 44 kg) up to 15 months old.
123852,140248,Royal Canin Maxi Breed Puppy Food 1kg,22.99,18.69,4.3,1kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,Chicken,"rice, dehydrated poultry protein, dehydrated pork protein*, maize flour, animal fats, hydrolysed animal proteins, maize gluten, maize, minerals, beet pulp, vegetable fibres, vegetable protein isolate*, soya oil, fish oil, psyllium husks and seeds, fructo-oligo-saccharides, hydrolysed yeast (source of manno-oligo-saccharides), hydrolysed crustaceans (source of glucosamine), marigold extract (source of lutein), hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 11600 IU, Vitamin D3: 1000 IU, E1 (Iron): 48 mg, E2 (Iodine): 3.7 mg, E4 (Copper): 8 mg, E5 (Manganese): 63 mg, E6 (Zinc): 206 mg, E8 (Selenium): 0.08 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS:Protein: 30% - Fat content: 16% - Crude ash: 8.5% - Crude fibres: 2.7% - Per kg: Fructo-oligo-saccharides: 3.4 g - Manno-oligo-saccharides: 0.5 g - Calcium: 12 g - Phosphorus: 9 g. *L.I.P.: protein selected for its very high assimilation.",Superior,,Puppy,Growth Support,No,Complete dog feed for large breed puppies (adult weight from 26 to 44 kg) up to 15 months old.
93021,137460,Royal Canin German Shepherd Adult Dog Food 11kg,150.99,107.03,43.96,11kg,Dry Food,,,"Remember to have clean, fresh water available for your dog at all times.",ROYAL CANIN,,"rice, dehydrated poultry protein, animal fats, vegetable protein isolate*, maize flour, vegetable fibres, hydrolysed animal proteins, minerals, beet pulp, soya oil, fish oil, copra oil, hydrolysed yeast (source of manno-oligosaccharides), hydrolysed crustaceans (source of glucosamine), green tea and grape extracts (source of polyphenols), marigold extract (source of lutein), hydrolysed cartilage (source of chondroitin). ADDITIVES (per kg): Nutritional additives: Vitamin A: 24700 IU, Vitamin D3: 800 IU, E1 (Iron): 40 mg, E2 (Iodine): 2.8 mg, E4 (Copper): 12 mg, E5 (Manganese): 53 mg, E6 (Zinc): 200 mg, E8 Selenium): 0.1 mg - Preservatives - Antioxidants. ANALYTICAL CONSTITUENTS: Protein: 24% - Fat content: 19% - Crude ash: 7.5% - Crude fibres: 3.8% - EPA and DHA fatty acids: 4 g/kg.",Superior,German Shepherd,"Adult, Senior",,No,Complete dog feed for adult and mature German Shepherds over 15 months old.
92475,136862,SavourLife Gluten Free Roo Ancient Grain Adult Dog Food 20kg,169.99,127.99,42,20kg,Dry Food,,,"PET FOOD ONLY. Store in a cool, dry place away from direct sunlight.  Ensure seal is closed after use. Make sure there is always clean, fresh water available.",SavourLife,,"Kangaroo Meal, Brown Rice, Sorghum, Poultry Oil, Natural Flavouring, Beet Pulp, Fish Oil, Linseed, Vitamins, Minerals and Amino Acids, Tomato Pomace, Yucca, Kelp, Carrot, Broccoli, Blueberries, Chicory Root (Natural Prebiotic), Glucosamine, Salt, Natural Antioxidants (Mixed Tocopherols), Green Tea, Rosemary extracts",Premium,,Adult,Gluten Free,Yes,"All breeds and sizes can enjoy our all-natural, gluten-free food with ancient grains."
108987,127956,Black Hawk Fish And Potato Adult Dog Food - 3kg,54.99,46.99,8,3kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Fish,"Ocean Fish & Salmon Meal, Potato, Ground Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet Pulp, Fish oil, Canola Oil, Egg Powder, Salt, Chicory, Essential Vitamins & Minerals (see tables), Kelp, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries",Premium,,Adult,,Yes,
108981,127960,Black Hawk Fish And Potato Adult Dog Food - 20kg,189.99,140.99,49,20kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Fish,"Ocean Fish & Salmon Meal, Potato, Ground Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet Pulp, Fish oil, Canola Oil, Egg Powder, Salt, Chicory, Essential Vitamins & Minerals (see tables), Kelp, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries",Premium,,Adult,,Yes,
116724,501600,Black Hawk Fish & Potato Dog Food 10kg,132.99,112.99,20,10kg,Dry Food,,,"In addition to food, always make sure fresh water is available",Black Hawk,Fish,"Ocean Fish & Salmon Meal, Potato, Ground Rice, Oats, Chicken Fat (preserved with Mixed Tocopherols [source of Vitamin E], Citric Acid, Rosemary Extract), Field Peas, Beet Pulp, Fish oil, Canola Oil, Egg Powder, Salt, Chicory, Essential Vitamins & Minerals (see tables), Kelp, Natural Antioxidants, Emu Oil, Yucca Schidigera Extract, Glucosamine, Chondroitin Sulphate, Tomato Powder, Carrots, Dried Blueberries, Dandelion, Peppermint, Rosemary, Cranberries",Premium,,Adult,,Yes,
142962,141743,Black Hawk Chicken & Rice Large Puppy Food 20kg,186.99,156.99,30,20kg,Dry Food,,,"When changing foods, it is important to do so gradually so your pet gets used to new flavours and textures. We suggest a week.      Tailored specifically for growing puppies, this complete diet is also suitable for pregnant and lactating bitches, who may need food available at all times. Make sure fresh water in a clean bowl is available at all times.       For maximum freshness, close packaging tightly between feeds, or store product in an airtight container. Store in a cool, dry place away from sunlight.",Black Hawk,Chicken,"Chicken Meal, Rice, Oats, Chickpeas, Faba Beans, Chicken Fat, Hydrolysed Chicken Protein, Chicken Digest, Turkey Meal, Beet Pulp, Fish Oil, Plant Cellulose, Essential Vitamins And Minerals (See Tables), Sweet Potato, Pumpkin, Chicory Root, Natural Yeast Extracts, Sea Kelp, Tomato, Yucca Schidigera Extract, Natural Antioxidants, Algae _-Glucan, Green-Lipped Mussel, D-Glucosamine, Emu Oil, Chondroitin Sulphate, Blueberries, Carrots, Cranberries, Dandelion, Peppermint And Rosemary.",Premium,"Giant, Large",Puppy,,Yes,
