Product,Flavor,14 LB_offer_price,14 LB_recommended_price,25 LB_offer_price,25 LB_recommended_price,5 LBS_offer_price,5 LBS_recommended_price,40 LBS_offer_price,40 LBS_recommended_price,Grain_Free,Life_Stage,URL,Rating,Reviews,25 LBS_offer_price,25 LBS_recommended_price,13 LBS_offer_price,13 LBS_recommended_price,4.5 LBS_offer_price,4.5 LBS_recommended_price,35 LBS_offer_price,35 LBS_recommended_price,6 LBS_offer_price,6 LBS_recommended_price,18 LBS_offer_price,18 LBS_recommended_price,47 LBS_offer_price,47 LBS_recommended_price,30 LBS_offer_price,30 LBS_recommended_price,15 LBS_offer_price,15 LBS_recommended_price,4 LBS_offer_price,4 LBS_recommended_price,28.5 LBS_offer_price,28.5 LBS_recommended_price,15.5 LBS_offer_price,15.5 LBS_recommended_price,45 LBS_offer_price,45 LBS_recommended_price,14 LBS_offer_price,14 LBS_recommended_price,16 LBS_offer_price,16 LBS_recommended_price,41 LBS_offer_price,41 LBS_recommended_price,37.5 LBS_offer_price,37.5 LBS_recommended_price,50 LBS_offer_price,50 LBS_recommended_price,12 LBS_offer_price,12 LBS_recommended_price,24 LBS_offer_price,24 LBS_recommended_price,28 LBS_offer_price,28 LBS_recommended_price,2.5 LBS_offer_price,2.5 LBS_recommended_price,34 LBS_offer_price,34 LBS_recommended_price,26 LBS_offer_price,26 LBS_recommended_price,33 LBS_offer_price,33 LBS_recommended_price,44 LBS_offer_price,44 LBS_recommended_price,22.5 LBS_offer_price,22.5 LBS_recommended_price,11.5 LBS_offer_price,11.5 LBS_recommended_price,22 LBS_offer_price,22 LBS_recommended_price,11 LBS_offer_price,11 LBS_recommended_price,20 LBS_offer_price,20 LBS_recommended_price,1 LBS_offer_price,1 LBS_recommended_price,21.5 LBS_offer_price,21.5 LBS_recommended_price,3.5 LBS_offer_price,3.5 LBS_recommended_price,10 LBS_offer_price,10 LBS_recommended_price,17 LBS_offer_price,17 LBS_recommended_price,7 LBS_offer_price,7 LBS_recommended_price,21 LBS_offer_price,21 LBS_recommended_price,31.1 LBS_offer_price,31.1 LBS_recommended_price,8 LBS_offer_price,8 LBS_recommended_price,2 OZ_offer_price,2 OZ_recommended_price,25 OZ_offer_price,25 OZ_recommended_price,9.5 OZ_offer_price,9.5 OZ_recommended_price,37 LBS_offer_price,37 LBS_recommended_price,4 LB_offer_price,4 LB_recommended_price,18 LB_offer_price,18 LB_recommended_price,12.5 LBS_offer_price,12.5 LBS_recommended_price,38.5 LBS_offer_price,38.5 LBS_recommended_price,48.4 LBS_offer_price,48.4 LBS_recommended_price,3 LBS_offer_price,3 LBS_recommended_price,19 LBS_offer_price,19 LBS_recommended_price,24 LB_offer_price,24 LB_recommended_price,8.5 LBS_offer_price,8.5 LBS_recommended_price,27.5 LBS_offer_price,27.5 LBS_recommended_price,17.6 LBS_offer_price,17.6 LBS_recommended_price,30.6 LBS_offer_price,30.6 LBS_recommended_price,1.75 LBS_offer_price,1.75 LBS_recommended_price,5.5 LBS_offer_price,5.5 LBS_recommended_price,7.7 LBS_offer_price,7.7 LBS_recommended_price,25.3 LBS_offer_price,25.3 LBS_recommended_price,28.6 LBS_offer_price,28.6 LBS_recommended_price,6.6 LBS_offer_price,6.6 LBS_recommended_price,1.5 LBS_offer_price,1.5 LBS_recommended_price,1 LB_offer_price,1 LB_recommended_price,13.5 LBS_offer_price,13.5 LBS_recommended_price,27 LBS_offer_price,27 LBS_recommended_price,27.5 LB_offer_price,27.5 LB_recommended_price,7.4 LBS_offer_price,7.4 LBS_recommended_price,36 LBS_offer_price,36 LBS_recommended_price,20 LB_offer_price,20 LB_recommended_price
wholehearted-dog-food-2582219,Chicken,,,,,$12.99,$12.99,$64.99,$64.99,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/wholehearted-dog-food-2582219,4.777,1695,$46.99,$46.99,,,,,,,,,,,,,,,,,,,,,,,,,$28.99,$28.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-adult-perfect-weight-small-bites-chicken-recipe-dry-dog-food-4-lbs-bag-3148764,Assorted,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-adult-perfect-weight-small-bites-chicken-recipe-dry-dog-food-4-lbs-bag-3148764,4.7054,112,,,,,,,,,,,,,,,,,$48.99,$53.99,$21.49,$23.49,$79.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
purina-pro-plan-focus-adult-sensitive-skin-and-stomach-salmon-and-rice-formula-dry-dog-food-16-lb-bag-2579440,Fish,,,,,$18.98,$21.99,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/purina-pro-plan-focus-adult-sensitive-skin-and-stomach-salmon-and-rice-formula-dry-dog-food-16-lb-bag-2579440,4.5324,2810,,,,,,,,,,,,,,,$65.98,$67.99,,,,,,,,,,,,,$49.98,$52.99,$83.98,$88.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro-plan-sport-all-life-stages-performance-dog-food-375-lbs-259306,Chicken,,,,,,,,,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/pro-plan-sport-all-life-stages-performance-dog-food-375-lbs-259306,4.7748,1723,,,,,,,,,$18.98,$21.99,$49.98,$52.99,,,,,,,,,,,,,,,,,,,,,$65.98,$67.99,$83.98,$88.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-grain-free-senior-chicken-recipe-dry-dog-food-5-lbs-2739394,Chicken,,,,,$12.99,$12.99,,,Yes,Senior,https://www.petco.com/shop/en/petcostore/product/wholehearted-grain-free-senior-chicken-recipe-dry-dog-food-5-lbs-2739394,4.6955,486,$46.99,$46.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-light-small-bites-adult-dog-food-5-lbs-802816,Chicken,,,,,$16.99,$18.99,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-light-small-bites-adult-dog-food-5-lbs-802816,4.7282,791,,,,,,,,,,,,,,,$70.99,$70.99,$38.99,$42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natural-balance-lid-limited-ingredient-diets-salmon-and-sweet-potato-formula-dry-dog-food-12-lbs-3168941,Fish,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/natural-balance-lid-limited-ingredient-diets-salmon-and-sweet-potato-formula-dry-dog-food-12-lbs-3168941,4.1436,188,,,,,,,,,,,,,,,,,,,$24.98,$24.98,,,,,,,,,,,,,,,,,$47.98,$49.99,$72.98,$72.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pro-plan-savor-shredded-blend-beef-and-rice-adult-dog-food-6-lbs-1201980,Beef,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/pro-plan-savor-shredded-blend-beef-and-rice-adult-dog-food-6-lbs-1201980,4.7047,1009,,,,,,,$63.98,$64.99,$18.28,$21.99,$45.68,$48.99,$83.48,$85.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-adult-perfect-weight-large-breed-chicken-recipe-dry-dog-food-285-lbs-bag-3148983,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-adult-perfect-weight-large-breed-chicken-recipe-dry-dog-food-285-lbs-bag-3148983,4.7791,86,,,,,,,,,,,,,,,,,,,,,$79.99,$79.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-all-life-stages-beef-and-brown-rice-recipe-dry-dog-food-45-lbs-3001050,Beef,,,,,$12.99,$12.99,,,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/wholehearted-all-life-stages-beef-and-brown-rice-recipe-dry-dog-food-45-lbs-3001050,4.7346,667,,,,,,,,,,,,,,,$43.99,$43.99,,,,,,,,,$63.99,$63.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-active-performance-high-protein-beef-and-rice-recipe-dry-dog-food-5-lbs-3180861,Beef,,,,,$16.99,$16.99,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/wholehearted-active-performance-high-protein-beef-and-rice-recipe-dry-dog-food-5-lbs-3180861,4.5417,120,,,,,,,,,,,,,,,$54.99,$54.99,,,,,,,,,$69.99,$69.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-lbs-5-pacific-stream-dog-tot-2871993,Fish,,,,,$19.99,$20.99,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/5-lbs-5-pacific-stream-dog-tot-2871993,4.7606,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,$38.99,$41.99,,,,,,,,,,,,,$58.99,$61.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-perfect-weight-small-and-toy-breed-adult-dog-food-15-lbs-2392491,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-perfect-weight-small-and-toy-breed-adult-dog-food-15-lbs-2392491,4.8027,679,,,,,,,,,,,,,,,,,$48.99,$53.99,$21.49,$23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-all-life-stages-chicken-and-rice-recipe-dry-dog-food-5-lbs-2739706,Chicken,,,,,$12.99,$12.99,,,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/wholehearted-all-life-stages-chicken-and-rice-recipe-dry-dog-food-5-lbs-2739706,4.6872,764,,,,,,,,,,,,,,,$43.99,$43.99,,,,,,,,,$63.99,$63.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-lamb-and-brown-rice-recipe-with-whole-grains-dry-dog-food-30-lbs-3104008,Lamb,,,,,$12.99,$12.99,,,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/wholehearted-lamb-and-brown-rice-recipe-with-whole-grains-dry-dog-food-30-lbs-3104008,4.5588,170,,,,,,,,,,,,,,,$43.99,$43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taste-of-the-wild-ancient-stream-canine-recipe-with-smoked-salmon-and-ancient-grains-dry-dog-food-14-lbs-3084676,Fish,,,,,$19.99,$20.99,,,No,All Lifestages,https://www.petco.com/shop/en/petcostore/product/taste-of-the-wild-ancient-stream-canine-recipe-with-smoked-salmon-and-ancient-grains-dry-dog-food-14-lbs-3084676,4.6146,807,,,,,,,,,,,,,,,,,,,,,,,,,,,$38.99,$41.99,,,,,,,,,,,,,$58.99,$61.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-grain-free-skin-and-coat-care-pea-and-salmon-recipe-dry-dog-food-5-lbs-2767230,Salmon,,,,,$17.99,$17.99,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/wholehearted-grain-free-skin-and-coat-care-pea-and-salmon-recipe-dry-dog-food-5-lbs-2767230,4.6915,564,$64.99,$64.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canidae-pure-real-salmon-and-barley-recipe-dry-dog-food-24-lbs-3131065,Fish,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/canidae-pure-real-salmon-and-barley-recipe-dry-dog-food-24-lbs-3131065,4.4154,65,,,,,,,,,,,,,,,,,,,$13.04,$15.99,,,,,,,,,,,,,,,,,,,$69.99,$69.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nutro-natural-choice-small-bites-limited-ingredient-diet-lamb-and-rice-adult-dog-food-30-lbs-2413722,Lamb,,,,,$17.99,$25.99,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/nutro-natural-choice-small-bites-limited-ingredient-diet-lamb-and-rice-adult-dog-food-30-lbs-2413722,4.7997,669,,,,,,,,,,,,,,,$67.98,$71.99,,,,,,,,,,,,,,,,,,,,,$31.98,$35.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills--science-diet--adult-sensitive-stomach-and-skin-small-and-toy-breed-dog-food-4-lb-bag-2517951,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills--science-diet--adult-sensitive-stomach-and-skin-small-and-toy-breed-dog-food-4-lb-bag-2517951,4.8348,793,,,,,,,,,,,,,,,,,$46.99,$51.99,$19.49,$21.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
royal-canin-mini-adult-dog-food-14-lbs-1521748,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/royal-canin-mini-adult-dog-food-14-lbs-1521748,4.8321,1233,,,,,,,,,,,,,,,,,,,,,,,,,,,$49.99,$55.99,,,,,,,,,,,,,,,$16.99,$18.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-lbs-5-sierra-mountain-dog-to-2871897,Lamb,,,,,$19.99,$20.99,,,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/5-lbs-5-sierra-mountain-dog-to-2871897,4.7915,609,,,,,,,,,,,,,,,,,,,,,,,,,,,$38.99,$41.99,,,,,,,,,,,,,$58.99,$61.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
canidae-grain-free-pure-sea-adult-dog-food-24-lbs-2189927,Fish,,,,,,,,,Yes,Adult,https://www.petco.com/shop/en/petcostore/product/canidae-grain-free-pure-sea-adult-dog-food-24-lbs-2189927,4.7516,926,,,,,,,,,,,,,,,,,,,$19.04,$20.99,,,,,,,,,,,,,,,,,$42.99,$42.99,$74.99,$74.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hills-science-diet-large-breed-adult-dog-food-35lbs-2732774,Chicken,,,,,,,,,No,Adult,https://www.petco.com/shop/en/petcostore/product/hills-science-diet-large-breed-adult-dog-food-35lbs-2732774,4.7482,1231,,,,,,,$70.99,$70.99,,,,,,,,,$38.99,$42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wholehearted-grain-free-salmon-and-pea-recipe-dog-food-2678317,Salmon,,,,,$14.99,$14.99,$64.99,$64.99,Yes,All Lifestages,https://www.petco.com/shop/en/petcostore/product/wholehearted-grain-free-salmon-and-pea-recipe-dog-food-2678317,4.748,2103,$52.99,$52.99,,,,,,,,,,,,,,,,,,,,,,,,,$29.99,$29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
